Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Left,Contributing_Cell_ID_Right
1,83,464,83,464,1,145.80,294.30,0.00,0.00,0.00,0.00001,0,0,0,
2,84,465,83,464,1,145.80,294.30,7.24,7.24,0.00,0.00001,0,1,0,
3,155,515,85,466,2,86.10,294.46,311.74,318.98,7.24,0.00097,0,3,2,
4,134,617,156,516,3,22.72,295.30,359.43,678.41,318.98,0.00251,0,5,4,
5,95,654,133,618,4,4.48,295.50,168.25,846.66,678.41,0.00001,6,8,7,
6,130,668,134,618,4,7.12,295.50,174.64,853.05,678.41,0.00001,9,11,10,
7,215,510,156,515,3,59.03,294.81,196.15,515.13,318.98,0.00357,0,13,12,
8,251,550,216,511,7,37.41,295.30,170.01,685.14,515.13,0.00001,0,15,14,
9,274,575,251,551,8,26.92,295.30,103.58,788.72,685.14,0.00001,0,17,16,
10,248,600,274,576,9,3.23,295.33,116.10,904.81,788.72,0.00171,18,20,19,
11,284,647,275,576,9,22.48,295.54,288.98,1077.70,788.72,0.00242,0,22,21,
12,272,675,284,648,11,9.19,296.00,123.34,1201.04,1077.70,0.00001,0,24,23,
13,261,679,271,675,12,3.14,296.00,37.97,1239.01,1201.04,0.00001,25,27,26,
14,260,709,271,676,12,3.95,296.19,116.91,1317.95,1201.04,0.00427,28,30,29,
15,301,756,285,647,11,8.77,296.54,432.80,1510.50,1077.70,0.00347,31,33,32,
16,376,570,252,550,8,8.92,295.78,446.35,1131.48,685.14,0.00359,34,36,35,
17,248,491,216,510,7,19.01,295.39,129.34,644.47,515.13,0.00232,0,38,37,
18,352,502,249,491,17,10.04,295.78,357.25,1001.72,644.47,0.00112,39,41,40,
19,283,453,249,490,17,7.33,295.76,175.07,819.54,644.47,0.00115,42,44,43,
20,190,412,85,465,2,59.67,294.79,408.89,416.13,7.24,0.00269,0,46,45,
21,219,405,191,412,20,5.65,295.61,95.70,511.83,416.13,0.00523,47,49,48,
22,238,293,191,411,20,44.07,296.16,418.40,834.54,416.13,0.00287,0,51,50,
23,239,292,239,292,22,32.55,296.60,4.24,838.78,834.54,0.00001,0,0,52,
24,291,301,240,292,23,6.35,296.90,219.25,1058.03,838.78,0.00228,53,55,54,
25,245,259,239,291,23,26.20,296.61,106.46,945.23,838.78,0.00094,0,57,56,
26,214,92,246,258,25,15.70,298.10,688.87,1634.10,945.24,0.00407,58,60,59,
27,181,222,244,258,25,9.71,296.89,237.98,1183.21,945.23,0.00126,61,63,62,
28,179,298,238,292,22,5.51,297.07,213.34,1047.87,834.53,0.00469,64,66,65,
